source,target,weight
3EiLUeyEcA6fbRPSHkG5kb,5XJDexmWFLWOkjOEjOVX3e,2
00me4Ke1LsvMxt5kydlMyU,64aJYyrXljOodnUG6jvhRD,1
39FKVjqhZLz4E1iG77d5AO,4SsVbpTthjScTS7U2hmr1X,1
2O8vbr4RYPpk6MRA4fio7u,4ixNZvQuuzCDxBsxO9zE6L,1
4aSlfXDn9R60UlbZEboBUy,6NyPX5jymkvSPaJhCh1crb,3
5rlwbF5flU2JCmAzV5Obu0,64aJYyrXljOodnUG6jvhRD,1
29fkrV8IuMETQBv8PgC6Lw,4SsVbpTthjScTS7U2hmr1X,1
3E6xrwgnVfYCrCs0ePERDz,64aJYyrXljOodnUG6jvhRD,1
3Wb38LDP3N4tkobValgE9D,4SsVbpTthjScTS7U2hmr1X,2
29fkrV8IuMETQBv8PgC6Lw,3EiLUeyEcA6fbRPSHkG5kb,1
2DspEsT7UXGKd2VaaedgG4,4SsVbpTthjScTS7U2hmr1X,1
1fux65HMCBvfJHqlBc4Nno,4SsVbpTthjScTS7U2hmr1X,1
0KPX4Ucy9dk82uj4GpKesn,3EiLUeyEcA6fbRPSHkG5kb,2
16yTBMwXmeW9MQgfcHZgA7,5sZKwZcGSzyVnO1P62PdCq,1
1GKIlPFdcewHtpDVCQ8zmJ,7cYik4OyfBXYV5Z2TI7p90,1
4SsVbpTthjScTS7U2hmr1X,7qYeIN2r4H1kBvr0Gm9Iav,3
1GKIlPFdcewHtpDVCQ8zmJ,3NpG6SsHaQETkdQVZH6V1E,1
4SsVbpTthjScTS7U2hmr1X,4dhKkIzf9LXogFL1NXfQc1,1
3NpG6SsHaQETkdQVZH6V1E,4SsVbpTthjScTS7U2hmr1X,1
64aJYyrXljOodnUG6jvhRD,7BOLXRhKCofrP6ESS7Owuo,1
0eHQ9o50hj6ZDNBt6Ys1sD,4SsVbpTthjScTS7U2hmr1X,2
1uy3w1dRiwRTYHiOOzZ5EE,4SsVbpTthjScTS7U2hmr1X,1
4SsVbpTthjScTS7U2hmr1X,6P6GTRTigHBp8ZesNtpCKH,1
3EiLUeyEcA6fbRPSHkG5kb,4C3ZmIqca9MWwThLaYbfXu,2
21451j1KhjAiaYKflxBjr1,4SsVbpTthjScTS7U2hmr1X,2
4CksTDKT5UHEUxHEEu6sBH,4SsVbpTthjScTS7U2hmr1X,1
5sZKwZcGSzyVnO1P62PdCq,64aJYyrXljOodnUG6jvhRD,1
38epWdyauFwdRkldqUMfWE,4SsVbpTthjScTS7U2hmr1X,1
0TC8XvQTSQMh4beW43FsAH,4SsVbpTthjScTS7U2hmr1X,1
3NpG6SsHaQETkdQVZH6V1E,7cYik4OyfBXYV5Z2TI7p90,1
4SsVbpTthjScTS7U2hmr1X,4o0NtnL2m0lzZmEdRas1qv,1
1TtXnWcUs0FCkaZDPGYHdf,6nVcHLIgY5pE2YCl8ubca1,1
0F0qHLgO0rPrxKUjv19N7z,29fkrV8IuMETQBv8PgC6Lw,1
